data_name,base_aar,base_par,np_aar,np_par,qnn_aar,qnn_par,nn_sup_aar,nn_sup_par,nn_unsup_aar,nn_unsup_par
SD3H50_1,0.76,0.32,0.756,0.24,0.888,0.52,0.92,0.66,0.792,0.36
,,,,,0.8864,0.52,0.9152,0.692,0.7928,0.32
,,,,,0.014587666,0.058309519,0.005215362,0.030331502,0.016099689,0.042426407
,,,,,,,,,,
SD3L1000_5,0.88,0.583,0.791,0.28,0.913,0.624,0.907,0.611,0.903,0.638
SD3L1000_4,0.88,0.583,0.791,0.28,0.914,0.633,0.904,0.598,0.905,0.653
SD3L1000_3,0.88,0.583,0.791,0.28,0.912,0.626,0.913,0.638,0.904,0.643
SD3L1000_2,0.88,0.583,0.791,0.28,0.916,0.643,0.919,0.666,0.895,0.587
SD3L1000_1,0.88,0.583,0.791,0.28,0.908,0.611,0.911,0.626,0.905,0.653
,,,,,0.9126,0.6274,0.9108,0.6278,0.9024,0.6348
,,,,,0.002966479,0.011802542,0.005761944,0.026157217,0.004219005,0.027499091
,,,,,,,,,,
SD3L300_5,0.875,0.497,0.792,0.29,0.919,0.64,0.931,0.697,0.891,0.603
SD3L300_4,0.875,0.497,0.792,0.29,0.923,0.667,0.937,0.707,0.879,0.543
SD3L300_3,0.875,0.497,0.792,0.29,0.917,0.643,0.925,0.69,0.886,0.593
SD3L300_2,0.875,0.497,0.792,0.29,0.917,0.633,0.927,0.68,0.885,0.58
SD3L300_1,0.875,0.497,0.792,0.29,0.92,0.663,0.933,0.72,0.889,0.607
,,,,,0.9192,0.6492,0.9306,0.6988,0.886,0.5852
,,,,,0.00248998,0.01493988,0.004774935,0.015417522,0.004582576,0.025791471
,,,,,,,,,,
SD3L50_5,0.824,0.4,0.828,0.36,0.928,0.74,0.956,0.8,0.896,0.64
SD3L50_4,0.824,0.4,0.828,0.36,0.928,0.72,0.948,0.78,0.884,0.58
SD3L50_3,0.824,0.4,0.828,0.36,0.916,0.68,0.964,0.84,0.904,0.64
SD3L50_2,0.824,0.4,0.828,0.36,0.928,0.72,0.968,0.88,0.872,0.56
SD3L50_1,0.824,0.4,0.828,0.36,0.916,0.7,0.96,0.84,0.892,0.58
,,,,,0.9232,0.712,0.9592,0.828,0.8896,0.6
,,,,,0.006572671,0.022803509,0.007694154,0.038987177,0.012198361,0.037416574
,,,,,,,,,,
SD4H1000_5,0.891,0.559,0.827,0.367,0.893,0.56,0.92,0.663,0.91,0.671
SD4H1000_4,0.891,0.559,0.827,0.367,0.918,0.649,0.931,0.694,0.889,0.583
SD4H1000_3,0.891,0.559,0.827,0.367,0.899,0.591,0.897,0.589,0.885,0.568
SD4H1000_2,0.891,0.559,0.827,0.367,0.901,0.59,0.92,0.666,0.913,0.678
SD4H1000_1,0.891,0.559,0.827,0.367,0.919,0.651,0.917,0.659,0.91,0.667
,,,,,0.906,0.6082,0.917,0.6542,0.9014,0.6334
,,,,,0.011789826,0.040145984,0.012389512,0.038970502,0.013277801,0.053266312
,,,,,,,,,,
SD4H300_5,0.832,0.39,0.827,0.383,0.894,0.553,0.936,0.74,0.901,0.64
SD4H300_4,0.832,0.39,0.827,0.383,0.917,0.657,0.951,0.79,0.888,0.58
SD4H300_3,0.832,0.39,0.827,0.383,0.897,0.56,0.951,0.797,0.885,0.59
SD4H300_2,0.832,0.39,0.827,0.383,0.914,0.627,0.949,0.78,0.899,0.633
SD4H300_1,0.832,0.39,0.827,0.383,0.917,0.657,0.939,0.757,0.899,0.64
,,,,,0.9078,0.6108,0.9452,0.7728,0.8944,0.6166
,,,,,0.011344602,0.051119468,0.007155418,0.023763417,0.007334848,0.02920274
,,,,,,,,,,
SD4H50_5,0.848,0.4,0.796,0.24,0.896,0.58,0.916,0.74,0.896,0.66
SD4H50_4,0.848,0.4,0.796,0.24,0.868,0.5,0.948,0.78,0.864,0.5
SD4H50_3,0.848,0.4,0.796,0.24,0.904,0.6,0.94,0.8,0.88,0.6
SD4H50_2,0.848,0.4,0.796,0.24,0.912,0.66,0.956,0.84,0.86,0.52
SD4H50_1,0.848,0.4,0.796,0.24,0.896,0.56,0.932,0.74,0.876,0.62
,,,,,0.8952,0.58,0.9384,0.78,0.8752,0.58
,,,,,0.016589153,0.058309519,0.015388307,0.042426407,0.014254824,0.0678233
,,,,,,,,,,
SD4L1000_5,0.976,0.886,0.914,0.613,0.971,0.861,0.976,0.889,0.975,0.883
SD4L1000_4,0.976,0.886,0.914,0.613,0.975,0.881,0.979,0.895,0.958,0.801
